year,content
4000 BC:,"4000 BC: Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.[129][b]
Links: Plumbing(Plumbing) | ([129]) | ([b])"
4000 BC:,"4000 BC: Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria.[132]
Links: Lock and key(locks) | Nineveh(Nineveh) | Assyria(Assyria) | ([132])"
4000 BC – 3400 BC:,"4000 BC – 3400 BC: Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany.[133][134]
Links: Wheel(wheels) | Ukraine(Ukraine) | Poland(Poland) | Germany(Germany) | ([133]) | ([134])"
3630 BC:,"3630 BC: Silk garments (sericulture) in China[135]
Links: Sericulture(sericulture) | ([135])"
3500 BC:,"3500 BC: Probable first domestication of the horse in the Eurasian Steppes.[136][137][138]
Links: Domestication of the horse(domestication of the horse) | ([136]) | ([137]) | ([138])"
3500 BC:,"3500 BC: Wine as general anaesthesia in Sumer.[139]
Links: General anaesthesia(general anaesthesia) | ([139])"
3500 BC:,"3500 BC: Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier.[140]
Links: Seal (emblem)(Seal (emblem)) | Near East(Near East) | Uruk(Uruk) | Mesopotamia(Mesopotamia) | Susa(Susa) | Iran(Iran) | Proto-Elamite (period)(Proto-Elamite period) | Stamp seal(stamp seals) | Halaf culture(Halaf culture) | ([140])"
3500 BC:,"3500 BC: Ploughing, on a site in Bubeneč, Czech Republic.[141] Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India).[142]
Links: Ploughing(Ploughing) | Bubeneč(Bubeneč) | ([141]) | Kalibangan(Kalibangan) | ([142])"
3400 BC – 3100 BC:,"3400 BC – 3100 BC: Tattoos in southern Europe[143][144]
Links: Tattoo(Tattoos) | ([143]) | ([144])"
Late 4th millennium BC:,"Late 4th millennium BC: Writing – in Sumer and Egypt.[145][146][147][148]
Links: Writing(Writing) | Sumer(Sumer) | Egypt(Egypt) | ([145]) | ([146]) | ([147]) | ([148])"
3300 BC:,"3300 BC: The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about 60 cm (24 in) long.[149][150] Some of them are inlaid with silver.[150]
Links: Sword(swords) | Arslantepe(Arslantepe) | Arsenical bronze(arsenical bronze) | ([149]) | ([150]) | Silver(silver) | ([150])"
3300 BC:,"3300 BC: City in Uruk, Sumer, Mesopotamia (modern-day Iraq).[151]
Links: City(City) | Uruk(Uruk) | Sumer(Sumer) | Mesopotamia(Mesopotamia) | ([151])"
3250 BC:,"3250 BC: One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat  found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps.[152][153][154]
Links: Hat(hats) | Ötzi(Ötzi) | ([152]) | ([153]) | ([154])"
3200 BC:,"3200 BC: Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains.[155][156][157]
Links: Latrine(Latrines) | Uruk(Uruk) | Toilet(Toilets) | ([155]) | ([156]) | ([157])"
3200 BC:,"3200 BC: Earliest actual wheel ever found, the Ljubljana Marshes Wheel, made of wood, in Slovenia.[134]
Links: Ljubljana Marshes Wheel(Ljubljana Marshes Wheel) | Slovenia(Slovenia) | ([134])"
3000 BC:,"3000 BC: Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet.[158] Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC.[159][160] Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan).[161]
Links: Dice(dice) | Senet(Senet) | ([158]) | Backgammon(backgammon) | Burnt City(Burnt City) | Iran(Iran) | ([159]) | ([160]) | Mohenjo-daro(Mohenjo-daro) | ([161])"
3000 BC:,"3000 BC: Tin extraction in Central Asia[162]
Links: Tin(Tin) | Central Asia(Central Asia) | ([162])"
3000 BC – 2560 BC:,"3000 BC – 2560 BC: Papyrus in Egypt[163][164][165][166]
Links: Papyrus(Papyrus) | ([163]) | ([164]) | ([165]) | ([166])"
3000 BC:,"3000 BC: Reservoir in Girnar, Indus Valley (modern-day India).[167]
Links: Reservoir(Reservoir) | Girnar(Girnar) | India(India) | ([167])"
3000 BC:,"3000 BC: Receipt in Ancient Mesopotamia (Iraq)[168]
Links: Receipt(Receipt) | Mesopotamia(Mesopotamia) | Iraq(Iraq) | ([168])"
3000 BC – 2800 BC:,"3000 BC – 2800 BC: Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold.[169]
Links: Prosthesis(Prosthesis) | Ancient Near East(Ancient Near East) | ([169])"
3000 BC – 2500 BC:,"3000 BC – 2500 BC: Rhinoplasty in Egypt.[170][171]
Links: Rhinoplasty(Rhinoplasty) | ([170]) | ([171])"
2650 BC:,"2650 BC: The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). [c]
Links: Ruler(Ruler) | Measuring rod(Measuring rod) | Nippur(Nippur) | Sumer(Sumerian Civilisation) | ([c])"
2600 BC:,"2600 BC: Planned city in Indus Valley (modern-day: India, Pakistan).[173][174]
Links: Planned city(Planned city) | ([173]) | ([174])"
2600 BC:,"2600 BC: Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan).[175]
Links: Sanitation of the Indus Valley Civilisation(Public sewage and sanitation systems in Indus Valley) | Mohenjo-daro(Mohenjo-daro) | Rakhigarhi(Rakhigarhi) | ([175])"
2600 BC:,"2600 BC: Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan).[176]
Links: Great Bath, Mohenjo-daro(Public bath) | Mohenjo-daro(Mohenjo-daro) | Pakistan(Pakistan) | ([176])"
2600 BC:,"2600 BC: Levee in Indus Valley.[177]
Links: Levee(Levee) | ([177])"
2600 BC:,"2600 BC: Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed.[178]
Links: Weighing scale(Balance weights and scales) | Fourth Dynasty of Egypt(Fourth Dynasty of Egypt) | Deben (unit)(Deben (unit)) | Sneferu(Sneferu) | ([178])"
2556 BC:,"2556 BC: Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu.[179][166][d]
Links: Dock (maritime)(Docks) | Wadi al-Jarf(Wadi al-Jarf) | Khufu(Khufu) | ([179]) | ([166]) | ([d])"
2500 BC:,"2500 BC: Puppetry in the Indus Valley.[186][187]
Links: Puppetry(Puppetry) | ([186]) | ([187])"
2400 BC:,"2400 BC: Fork in Bronze Age Qijia culture in China[188]
Links: Fork(Fork) | Bronze Age(Bronze Age) | Qijia culture(Qijia culture) | China(China) | ([188])"
2400 BC:,"2400 BC: Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes.[131]
Links: History of water supply and sanitation(Copper pipes) | Pyramid of Sahure(Pyramid of Sahure) | Abusir(Abusir) | ([131])"
2400 BC:,"2400 BC: Touchstone in the Indus Valley site of Banawali (modern-day India).[189]
Links: Touchstone (assaying tool)(Touchstone) | Banawali(Banawali) | ([189])"
2300 BC:,"2300 BC: Dictionary in Mesopotamia.[190]
Links: Dictionary(Dictionary) | Mesopotamia(Mesopotamia) | ([190])"
