1873,,Willoughby Smith discovers photoconductivity.,
1874,,Telephone,Graham Bell
1875,,William Crookes invented the Crookes tube and studied cathode rays.,
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,AlexanderGrahamBell
1876,,Microphone,Alexander Graham Bell
1876,,Microphone,Alexander Graham Bell
1876,,Microphone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,Telephone,Alexander Graham Bell
1876,,"Josiah Willard Gibbs founded chemical thermodynamics, the phase rule.",
1877,,Phonograph,ThomasEdison
1877,,Ludwig Boltzmann: Statistical definition of entropy.,
1878,,ElectricLightBulb,ThomasEdison
1878,,Gramophone,Thomas Edison
1878,,Gramophone,Thomas Edison
1878,,Gramophone,Thomas Edison
1880,,"John Hopkinson develops three-phase electrical supplies, mathematically proves how multiple AC dynamos can be connected in parallel, improves permanent magnets, and dynamo efficiency, by the addition of tungsten, and describes how temperature effects magnetism (Hopkinson effect).",
1880,,Pierre Curie and Jacques Curie: Piezoelectricity.,
1882,,Iron(electric),HenryW.Seeley
1882,,Electric Fan,Schuyler Wheeler
1882,,Electric Fan,Schuyler Wheeler
1882,,Electric Fan,Wheeler
1884,,FountainPen,LewisE.Waterman
1884,,Fountain Pen,Lewis Edson Waterman
1884,,"Jacobus Henricus van 't Hoff: discovered the laws of chemical dynamics and osmotic pressure in solutions (in his work ""Études de dynamique chimique"").",
1885,,Motorcycle,Gottlieb Daimler
1885,,Petrol for Motor Car,Karl Benz
1885,,Motorcycle,Gottlieb Daimler
1885,,Petrol for Motor Car,Karl Benz
1885,,Petrol for Motor Card,Karl Benz
1886,,Automobile,Karl Benz
1886,,Automobile,Karl Benz
1886,,Coca-Cola,Dr.JohnPemberton
1886,,Dishwasher,JosephineG.Cochran
1886,,YellowPages,ReubenH.Donnelly
1886,,Fluorine,Ferdinand Frederick Henri Moissan
1886,,Automobile,Karl Benz
1886,,Automobile,Karl Benz
1887,,Albert A. Michelson and Edward W. Morley: Michelson–Morley experiment which showed a lack of evidence for the aether.,
1888,,Film,George Eastman
1888,,Camera,GeorgeEastman
1888,,PneumaticTyre,JohnDunlop
1888,,Bicycle Tyres,John Boyd Dunlop
1888,,Bicycle Tyres,John Boyd Dunlop
1888,,Ball Point Pen,John Loud
1888,,Bicycle Tyres,John Boyd Dunlop
1888,,Film,George Eastman
1888,,Friedrich Reinitzer discovers liquid crystals.,
1889,,Cine Camera,Wm. Friese-Greene
1889,,Cine Camera,Wm. Friese-Greene
1889,,Cine Camera,Wm. Friese-Greene
1892,,Diesel Engine,Rudolf Diesel
1892,,Diesel Engine,Rudolf Diesel
1892,,Animation,Emile Reynaud
1892,,Diesel Engine,Rudolf Diesel
1892,,Dmitri Ivanovsky discovers viruses.,
1893,,FerrisWheel,G.W.G.FerrisJr.
1893,,ZipFastener,WhitcombJudson
1894,,Radio,Guglielmo Marconi
1894,,Ship (Turbine),Charles Parsons
1894,,Radio,Guglielmo Marconi
1894,,Ship (Turbine),Charles Parsons
1894,,Radio,Guglielmo Marconi
1894,,Ship (Turbine),Charles Parsons
1895,,Radio,Guglielmo Marconi
1895,,Radio,Guglielmo Marconi
1895,,Radio,GuglielmoMarconi
1895,,SafetyPin,WalterHunt
1895,,Telegraph,GuglielmoMarconi
1895,,Diesel Engine,Rudolf Diesel
1895,,Diesel Engine,Rudolf Diesel
1895,,Diesel Engine,Rudolf Diesel
1895,,X-ray,Wilhelm Conrad Roentgen
1895,,Radio,Guglielmo Marconi
1895,,Radio,Guglielmo Marconi
1895,,Wilhelm Conrad Röntgen discovers x-rays.,
1896,,Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel"
1896,,Electric stove/cooker,William S. Hadaway
1896,,Electric stove/cooker,William S. Hadaway
1896,,Electric stove/cooker,William S. Hadaway
1896,,Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel"
1896,,Henri Becquerel discovers radioactivity,
1896,,Svante Arrhenius derives the basic principles of the greenhouse effect,
1897,,The Electron,J.J. Thomson
1897,,Vitamin B,Christiaan Eijkman
1897,,The Electron,J.J. Thomson
1897,,J.J. Thomson discovers the electron in cathode rays,
1898,,Submarine,TJohnHolland
1898,,Radium,Marie & Pierre Curie
1898,,Radium,Marie & Pierre Curie
1898,,Radium,Marie & Pierre Curie
1898,,"Martinus Beijerinck: concluded that a virus is infectious—replicating in the host—and thus not a mere toxin, and gave it the name ""virus""",
1898,,J.J. Thomson proposed the plum pudding model of an atom,
1898,,Marie Curie discovered radium and polonium,
1898,,J. J. O'Donnell discovers and documents the order-of-sequence for the sound of an approaching tornado,
1899,,Aspirin,Dr. Felix Hoffman
1899,,Aspirin,Dr. Felix Hoffman
1899,,Aspirin,Dr. Felix Hoffman
1900,,Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others"
1900,,Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac"
1900,,Blood Group,Karl Lansdsteiner
1900,,Blood Group,Karl Lansdsteiner
1900,,Blood Group,Karl Lansdsteiner
1900,,Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others"
1900,,Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac"
1900,,Max Planck: explains the emission spectrum of a black body,
1901,,VacuumCleaner,H.CecilBooth
1901,,Amplitude Modulation,Reginald Fessenden
1902,,Air Conditioner,Willis Carrier
1902,,Air Conditioner,Willis Carrier
1903,,Airplane,The Wright brothers (Orville and Wilbur Wright)
1903,,Airplane,Wilber and Orville Wright
1903,,Airplane,Wilber and Orville Wright
1903,,Airplane,Wilber and Orville Wright
1903,,Windshield wipers,Mary Anderson
1903,,Airplane,The Wright brothers (Orville and Wilbur Wright)
1904,,Valve. Radio,Sir J.A Fleming
1905,,The theory of relativity,Albert Einstein
1905,,The theory of relativity,Albert Einstein
1905,,"Albert Einstein: theory of special relativity, explanation of Brownian motion, and photoelectric effect",
1906,,Walther Nernst: Third law of thermodynamics,
1907,,"Alfred Bertheim: Arsphenamine, the first modern chemotherapeutic agent",
1908,,TeaBag,ThomasSullivan
1908,,Animation,J. Stuart Blackton
1908,,Animation,J. Stuart Blackton
1909,,Fritz Haber: Haber Process for industrial production of ammonia,
1909,,Robert Andrews Millikan: conducts the oil drop experiment and determines the charge on an electron,
1910,,"Williamina Fleming: the first white dwarf, 40 Eridani B",
1911,,Superconductivity,Heike Kamerlingh Onnes
1911,,Superconductivity,Heike Kamerlingh Onnes
1911,,Ernest Rutherford: Atomic nucleus,
1911,,Heike Kamerlingh Onnes: Superconductivity,
1912,,Plate tectonics,Alfred Wegener
1912,,Continental Drift,Alfred Wegener
1912,,Vitamin A,Frederick Gowland Hpokins
1912,,Plate tectonics,Alfred Wegener
1912,,Continental Drift,Alfred Wegener
1912,,Alfred Wegener: Continental drift,
1912,,Max von Laue: x-ray diffraction,
1912,,Vesto Slipher: galactic redshifts,
1912,,Henrietta Swan Leavitt: Cepheid variable period-luminosity relation,
1913,,GeigerCounter,HansGeiger
1913,,Henry Moseley: defined atomic number,
1913,,Niels Bohr: Model of the atom,
1914,,Air Conditioner,Willis Carrier
1915,,Neon Lamp,Georges Claude
1915,,Neon Lamp,Georges Claude
1915,,Neon Lamp,Georges Claude
1915,,Albert Einstein: theory of general relativity – also David Hilbert,
1915,,Karl Schwarzschild: discovery of the Schwarzschild radius leading to the identification of black holes,
1917,,The Proton,Ernest Rutherford
1917,,The Proton,Ernest Rutherford
1918,,Emmy Noether: Noether's theorem – conditions under which the conservation laws are valid,
1920,,Q-Tips,LeoGerstenzang
1920,,Arthur Eddington: Stellar nucleosynthesis,
1922,,Radar,Dr. Albert H. Taylor & Leo C. Young
1922,,Vitamin E,"Herbert McLean Evans & Katherine Scott
Bishop"
1922,,"Frederick Banting, Charles Best, James Collip, John Macleod: isolation and production of insulin to control diabetes",
1923,,Adhesive tape,Richard G. Drew
1923,,Insulin,Sir Frederick Banting
1923,,Adhesive tape,Richard G. Drew
1923,,Insulin,Sir Frederick Banting
1923,,Adhesive tape,Richard G. Drew
1923,,Insulin,Sir Frederick Banting
1924,,Wolfgang Pauli: quantum Pauli exclusion principle,
1924,,Edwin Hubble: the discovery that the Milky Way is just one of many galaxies,
1925,,FrozenFood,ClarenceBirdseye
