Year,Country,Name of Invention,Name of Inventor,Category,General_Category
1964,United States,supercomputer,Seymour Cray,Computer Science,Information & Computing
1964,United States,coronary artery bypass,Michael DeBakey,Medical Equipment,Life Sciences & Medicine
1964,United States,computer mouse,Douglas Engelbart,Computer Interface,Information & Computing
1964,United States,Synthesizer,Dr Robert Arthur Moog,Audio Technology,Arts & Media
1965,United States,Discovery of cosmic microwave background radiation,Penzias  Wilson,Astronomy,Physical Sciences
1965,United States,Kevlar,Stephanie Kwolek,Materials Science; Materials Technology,Chemistry & Materials
1965,United States,Compact Disk,James Russell,Digital Storage,Information & Computing
1965,Germany; United States,Cosmic Microwave Background Radiation,Arno Penzias  Robert Wilson,Astrophysics,Physical Sciences
1965,United States,AstroTurf,J Faria  R Wright,Materials Technology,Chemistry & Materials
1967,United States,Proposal that certain cell organelles are descended from freeliving bacteria,Margulis,Evolutionary Biology,Life Sciences & Medicine
1967,Pakistan; United States,Electroweak theory first unification of fundamental forces,Weinberg; Glashow; Salam,Physics,Physical Sciences
1967,United States,Theory of plate tectonics,McKenzie  Parker; Morgan,Geology,Earth & Environmental Sciences
1967,Japan; United States,First warning of an anthropogenic greenhouse effect,Manabe  Wetherald,Climate Science,Earth & Environmental Sciences
1968,United States,Virtual reality,Ivan Sutherland,Computer Interface,Information & Computing
1968,United Kingdom,Pulsars discovered,Hewish et al,Astronomy,Physical Sciences
1968,Japan,Theory of random molecular evolution,Kimura,Evolutionary Biology,Life Sciences & Medicine
1969,United Kingdom; United States,packet switching,Donald Davies; Paul Baran,Computer Networking,Information & Computing
1969,United States,UNIX operating system,Kenneth L Thompson  Dennis M Ritchie,Software,Information & Computing
1970,Japan; United States,Reverse transcriptase discovered,Baltimore; Temin  Mizutani,Molecular Biology,Life Sciences & Medicine
1970,Israel; United Kingdom; United States,public‐key cryptography,James H Ellis; Clifford Cocks; Malcolm J Williamson; Whitfield Diffie; Martin Hellman; Ralph Merkle; Ron Rivest; Adi Shamir; Leonard Adleman,Cryptography,Information & Computing
1970,United States,pocket calculator,Texas Instruments,Electronics,Other
1971,Russia,space station Salyut 1,Soviet Space Program,Space Technology,Engineering & Technology
1971,United States,floppy disk and disk drive,IBM,Computer Hardware,Information & Computing
1971,Italy; United States,singlechip microprocessor Intel 4004,Federico Faggin,Computer Engineering,Information & Computing
1972,United States,Genetic engineering,Paul Berg,Biotechnology,Life Sciences & Medicine
1972,United States,video game console Magnavox Odyssey,Ralph H Baer,Video Games,Arts & Media
1973,United States,fiber optic communication systems,Optelecom,Telecommunications,Information & Computing
1973,United States,Invention of magnetic resonance imaging,Lauterbur,Medical Imaging,Life Sciences & Medicine
1973,United States,Advent of genetic engineering techniques,Cohen Boyer and Berg,Biotechnology,Life Sciences & Medicine
1973,United States,Gammaray bursts from outer space,Klebesadel Strong and Olsen,Astronomy,Physical Sciences
1973,United States,Mobile phones,Martin Cooper,Mobile Technology,Information & Computing
1973,United States,commercial graphical user interface GUI,Xerox PARC,Computer Interface,Information & Computing
1973,Switzerland,capacitive touchscreen,CERN,Touchscreen Technology,Information & Computing
1973,United States,magnetic resonance imaging MRI,Paul Lauterbur; Sir Peter Mansfield,Medical Imaging,Life Sciences & Medicine
1974,United States,Transmission Control Program,Vinton Cerf; Robert E Kahn,Computer Networking,Information & Computing
1974,Australia; Switzerland,Principles of cellmediated immunity unveiled,Zinkernagel  Doherty,Immunology,Life Sciences & Medicine
1974,France; United States,Discovery of Lucy Australopithecus afarensis,Johanson  Taieb,Paleoanthropology,Social Sciences & Humanities
1974,United States,First Grand Unified Theory of particle physics,Georgi  Glashow,Physics,Physical Sciences
1974,Hungary,Rubiks cube,Erno Rubik; Ernő Rubik,Toy; Toys,Arts & Media
1974,United States,Transmission Control ProtocolInternet Protocol TCPIP,Vinton Cerf  Robert Kahn,Networking Technology,Information & Computing
1974,Mexico; United States,Identification of CFCs as threat to ozone layer,Molina  Rowland,Environmental Science,Earth & Environmental Sciences
1974,France; Japan; United States,lithiumion battery,M Stanley Whittingham; John B Goodenough; Rachid Yazami; Akira Yoshino,Battery Technology,Chemistry & Materials
1975,Germany; United Kingdom,Monoclonal antibodies created,Köhler  Milstein,Immunology,Life Sciences & Medicine
1976,Germany,Patchclamp technique for studying single ion channels,Neher  Sakmann,Physiology,Life Sciences & Medicine
1977,United Kingdom; United States,DNA sequencing method,Walter Gilbert; Frederick Sanger,Biotechnology,Life Sciences & Medicine
1977,Japan,selfdriving car,Tsukuba Mechanical Engineering Laboratory,Automotive Technology,Engineering & Technology
1977,United States,Voyager Program,NASA,Aerospace,Engineering & Technology
1977,United States,Apple II personal computer,Stephen Wozniak,Computer Hardware,Information & Computing
1977,United States,MRI,Raymond Damadian,Medical Imaging,Life Sciences & Medicine
1977,United States,Discovery of deepsea hydrothermal vents,Corliss et al,Oceanography,Earth & Environmental Sciences
1977,United Kingdom,First complete DNA sequence of an organism,Sanger et al,Genetics,Life Sciences & Medicine
1978,United States,Global Positioning System GPS,United States Department of Defense,Navigation Technology,Other
1978,United States,Observation of astronomical dark matter,Rubin,Astronomy,Physical Sciences
1978,United States,GPS,Roger L Easton; Ivan A Getting; Bradford Parkinson,Navigation Technology,Other
1979,United Kingdom; United States,public dialup informationmessaging services,CompuServe; RadioShacks MicroNET; Post Office Telecommunications Prestel,Information Technology,Information & Computing
1979,Japan,cellular network,Nippon Telegraph and Telephone NTT,Telecommunications,Information & Computing
1979,United States,handheld game console Microvision,Milton Bradley,Video Games,Arts & Media
1980,United States,Impact hypothesis for extinctions at the CretaceousTertiary boundary,Alvarez et al,Geology,Earth & Environmental Sciences
1980,United States,First human oncogene,Weinberg,Molecular Biology,Life Sciences & Medicine
1980,Germany,Unveiling of genetic controls on animal bodyplan development,NüssleinVolhard  Wieschaus,Genetics,Life Sciences & Medicine
1980,United States,gene mapping tool using RFLP,Mark Skolnick; Ron Davis; Ray White; David Botstein,Genetics,Life Sciences & Medicine
1980,Japan,flash memory,Fujio Masuoka,Semiconductor Technology,Other
1981,United States,Laserphaco Probe,Patricia Bath,Medical Equipment,Life Sciences & Medicine
1981,Germany,scanning tunneling microscope,Gerd Binnig,Nanotechnology,Chemistry & Materials
1981,United Kingdom,IXI digital media player,Kane Kramer,Consumer Electronics,Engineering & Technology
1981,United Kingdom; United States,Superstring theory,Green  Schwarz,Theoretical Physics,Physical Sciences
1981,United States,Space Shuttle reusable spacecraft,NASA,Space Technology,Engineering & Technology
1981,Sweden,Nordic Mobile Telephone NMT system,Televerket,Telecommunications,Information & Computing
1981,Sweden,automatic cellular system,Comvik,Telecommunications,Information & Computing
1982,United States,Prion hypothesis proposed,Prusiner,Neurology,Life Sciences & Medicine
1982,United States,Artificial heart,Robert Jarvik,Medical Equipment,Life Sciences & Medicine
1982,Japan,laptop computer Epson HX20,Epson,Computer Hardware,Information & Computing
1982,Japan; Netherlands,CDROM,Sony and Philips,Data Storage,Information & Computing
1982,United Kingdom,directtohome satellite television Sky One,British Sky Broadcasting,Television Technology,Arts & Media
1983,United States,stereolithography,Chuck Hull,3D Printing,Engineering & Technology
1983,United States,commercialization of cellular network,Bell System AmeritechATT,Telecommunications,Information & Computing
1983,France,AIDS virus identified,BarréSinoussi et al,Virology,Life Sciences & Medicine
1984,United Kingdom,DNA profiling,Alec Jeffreys,Biotechnology,Life Sciences & Medicine
1984,United States,cell phone DynaTAC 8000X,Motorola,Telecommunications,Information & Computing
1985,United Kingdom,Genetic fingerprinting invented,Jeffreys,Genetics,Life Sciences & Medicine
1985,United Kingdom; United States,Discovery of buckminsterfullerene,Kroto et al,Chemistry,Chemistry & Materials
1985,United Kingdom,Ozone Hole discovery; Ozone hole discovered,Brian Gardiner; Farman et al; Joe Farman; Jonathan Shanklin,Environmental Science,Earth & Environmental Sciences
1986,Switzerland,First hightemperature superconductor,Bednorz  Müller,Physics,Physical Sciences
1986,United Kingdom,pocketsized cell phone Excell PCT105,Technophone,Telecommunications,Information & Computing
1987,United States,Formulation of the Out of Africa hypothesis of human evolution using molecular data,Cann Stoneking and Wilson,Anthropology,Social Sciences & Humanities
1989,Germany,audio compression algorithms MP3 AAC,Karlheinz Brandenburg,Audio Technology,Arts & Media
1989,Belgium; United Kingdom,World Wide Web,Tim BernersLee; Tim BernersLee  Robert Cailliau,Information Technology; Internet Technology,Information & Computing
1990,Japan,video game system Neo Geo AES,SNK,Video Games,Arts & Media
1990,Canada,search engine Archie,Alan Emtage,Internet Technology,Information & Computing
1991,Finland,Linux opensource operating system,Linus Torvalds,Software,Information & Computing
1991,United States,flashbased solidstate drive,SunDisk,Computer Hardware,Information & Computing
1991,Germany,SIM card,Giesecke  Devrient,Telecommunications,Information & Computing
1992,Canada; Poland,Exoplanets,Aleksander Wolszczan  Dale Frail,Astronomy,Physical Sciences
1993,United States,mobile app SIMON,IBM,Software,Information & Computing
1994,Denmark,mobile game Tetris variant on Hagenuk MT2000,Hagenuk,Video Games,Arts & Media
1994,Sweden,Bluetooth,Ericsson Mobile,Wireless Communication,Information & Computing
1994,United States,smartphone IBM Simon,IBM,Mobile Technology,Information & Computing
1995,United States,online food ordering service Waitercom,Waitercom,Internet Technology,Information & Computing
1995,United States,online dating site Matchcom,Matchcom,Internet Technology,Information & Computing
1995,Japan; Netherlands,DVD,Philips; Sony; Toshiba; Panasonic,Optical Storage,Information & Computing
1995,United States,BoseEinstein condensation of trapped atoms,Cornell  Wieman,Physics,Physical Sciences
1995,Switzerland,First extrasolar planet identified,Mayor  Queloz,Astronomy,Physical Sciences
1996,United States,dense wavelengthdivision multiplexing system,Ciena Corporation; Sprint,Telecommunications,Information & Computing
1996,Finland,mobile web Nokia 9000 Communicator,Nokia,Mobile Technology,Information & Computing
1996,United States,social media sites Bolt; Six Degrees,Bolt; Six Degrees,Internet Technology,Information & Computing
1996,United States,BRACAnalysis genetic test,Myriad Genetics,Biotechnology,Life Sciences & Medicine
1997,United States,weblog blog,Jorn Barger; Peter Merholz,Internet Technology,Information & Computing
1997,United Kingdom,Dolly the sheep created by cloning,Wilmut et al,Biotechnology,Life Sciences & Medicine
1998,United States,search engine Google,Google,Internet Technology,Information & Computing
1998,Australia; United States,Dark Energy discovery,Saul Perlmutter; Brian P Schmidt; Adam G Riess,Cosmology,Physical Sciences
1998,South Korea,portable MP3 player,SaeHan Information Systems,Consumer Electronics,Engineering & Technology
1999,United States,digital video recorder TiVo,Xperi,Consumer Electronics,Engineering & Technology
1999,Japan,integrated online app store imode,NTT DoCoMo,Mobile Technology,Information & Computing
2000,Japan,Bluray optical disc format,Sony,Optical Storage,Information & Computing
2000,United States,geocaching,Dave Ulmer,Recreational Technology,Arts & Media
2001,International; United States,Publication of nearcomplete sequences of the human genome,International Human Genome Sequencing Consortium; Venter et al,Genomics,Life Sciences & Medicine
2004,United States,podcast,Adam Curry; Dave Winer,Internet Technology,Information & Computing
2005,United States,videostreaming site YouTube,YouTube,Internet Technology,Information & Computing
2007,United Kingdom,banking app,The Bank of Scotland,Financial Technology,Information & Computing
2007,United States,ereader Kindle,Amazon Jeff Bezos,Consumer Electronics,Engineering & Technology
2007,Germany,music ondemand service SoundCloud,SoundCloud,Internet Technology,Information & Computing
2007,United States,iPhone,Apple Inc,Mobile Technology,Information & Computing
2007,United States,videoondemand service,Netflix,Internet Technology,Information & Computing
2008,Japan,blockchain,Satoshi Nakamoto,Cryptography,Information & Computing
2010,United States,synthetic organism Mycoplasma laboratorium,J Craig Venter Institute,Biotechnology,Life Sciences & Medicine
2010,United States,quantum machine,IBM,Quantum Computing,Information & Computing
2010,Japan,solar sail spacecraft IKAROS,JAXA,Space Technology,Engineering & Technology
2011,United States,HIV treatment as prevention HPTN 052,HPTN 052 Study Group,Medicine,Life Sciences & Medicine
2012,Belgium; United Kingdom,Higgs Boson,Peter Higgs  Franois Englert,Particle Physics,Physical Sciences
2013,Multiple,cancer immunotherapy,Multiple,Medicine,Life Sciences & Medicine
2014,United States,NFT Quantum,Kevin McCoy; Anil Dash,Blockchain Technology,Information & Computing
2015,International,Gravitational Waves detection,LIGO Scientific Collaboration,Astrophysics,Physical Sciences
2015,France; United States,CRISPR genomeediting method,Jennifer Doudna; Emmanuelle Charpentier,Biotechnology,Life Sciences & Medicine
2015,International,First Black Hole Merger observation,LIGO Scientific Collaboration,Astrophysics,Physical Sciences
2017,United States,transformer architecture,Google,Artificial Intelligence,Information & Computing
2018,Multiple,singlecell sequencing,Multiple,Biotechnology,Life Sciences & Medicine
2019,United States,integrated quantum computing system IBM Q System One,IBM,Quantum Computing,Information & Computing
2020,Germany; United States,mRNA vaccine for COVID19,Pfizer; BioNTech,Medicine,Life Sciences & Medicine
2020,United States,GPT3 AI language model,OpenAI,Artificial Intelligence,Information & Computing
2021,United States,COVID pill,Pfizer,Medicine,Life Sciences & Medicine
