year,content
1679:,"1679: Pressure-cooker: Invented by Denis Papin.[395]
Links: Pressure-cooker(Pressure-cooker) | Denis Papin(Denis Papin) | ([395])"
1680:,"1680: Christiaan Huygens provides the first known description of a piston engine.[396]
Links: Christiaan Huygens(Christiaan Huygens) | Gunpowder engine(piston engine) | ([396])"
1698:,"1698: Thomas Savery develops a steam-powered water pump: for draining mines[397]
Links: Thomas Savery(Thomas Savery) | Thomas Savery(steam-powered water pump) | ([397])"
1709:,"1709: Bartolomeo Cristofori crafts the first piano.
Links: Bartolomeo Cristofori(Bartolomeo Cristofori) | Piano(piano)"
1709:,"1709: Daniel Gabriel Fahrenheit invents the alcohol thermometer.
Links: Daniel Gabriel Fahrenheit(Daniel Gabriel Fahrenheit) | Thermometer(thermometer)"
1712:,"1712: Thomas Newcomen builds the first commercial steam engine to pump water out of mines.[398] Newcomen's engine, unlike Thomas Savery's, uses a piston.
Links: Thomas Newcomen(Thomas Newcomen) | ([398]) | Thomas Savery(Thomas Savery)"
1730:,"1730: Thomas Godfrey and John Hadley independently develop the octant
Links: Thomas Godfrey (inventor)(Thomas Godfrey) | John Hadley(John Hadley) | Octant (instrument)(octant)"
1733:,"1733: John Kay enables one person to operate a loom with the flying shuttle[399]
Links: John Kay (flying shuttle)(John Kay) | Flying shuttle(flying shuttle) | ([399])"
1738:,"1738: Lewis Paul and John Wyatt invent the first mechanized cotton spinning machine.
Links: Lewis Paul(Lewis Paul) | John Wyatt (inventor)(John Wyatt) | Paul-Wyatt cotton mills(mechanized cotton spinning machine)"
1742:,"1742: Benjamin Franklin invents the Franklin stove.
Links: Benjamin Franklin(Benjamin Franklin) | Franklin stove(Franklin stove)"
1745:,"1745: Musschenbroek and Kleist independently develop the Leyden jar, an early form of capacitor.
Links: Pieter van Musschenbroek(Musschenbroek) | Ewald Georg von Kleist(Kleist) | Leyden jar(Leyden jar) | Capacitor(capacitor)"
1746:,"1746: John Roebuck invents the lead chamber process.
Links: John Roebuck(John Roebuck) | Lead chamber process(lead chamber process)"
1752:,"1752: Benjamin Franklin invents the lightning rod.
Links: Benjamin Franklin(Benjamin Franklin) | Lightning rod(lightning rod)"
1755:,"1755: William Cullen invents the first artificial refrigeration machine.
Links: William Cullen(William Cullen) | Refrigeration(refrigeration)"
1760:,"1760: John Joseph Merlin invents the first  Roller skates.[400]
Links: John Joseph Merlin(John Joseph Merlin) | Roller skates(Roller skates) | ([400])"
1764:,"1764: James Hargreaves invents the spinning jenny.
Links: James Hargreaves(James Hargreaves) | Spinning jenny(spinning jenny)"
1765:,"1765: James Watt invents the improved steam engine utilizing a separate condenser.
Links: James Watt(James Watt) | Steam engine(steam engine)"
1767:,"1767: Joseph Priestley invents a method for the production of carbonated water.
Links: Joseph Priestley(Joseph Priestley) | Carbonated water(carbonated water)"
1769:,"1769: Nicolas-Joseph Cugnot invents the first steam-powered vehicle capable of carrying passengers, an early car.
Links: Nicolas-Joseph Cugnot(Nicolas-Joseph Cugnot) | Car(car)"
1770:,"1770: Richard Salter invents the earliest known design for a weighing scale.
Links: Richard Salter (inventor)(Richard Salter) | Weighing scale(weighing scale)"
1774:,"1774: John Wilkinson invents his boring machine, considered by some to be the first machine tool.
Links: John Wilkinson (industrialist)(John Wilkinson) | Boring (manufacturing)(boring) | Machine tool(machine tool)"
1775:,"1775: Jesse Ramsden invents the modern screw-cutting lathe.
Links: Jesse Ramsden(Jesse Ramsden) | Screw-cutting lathe(screw-cutting lathe)"
1776:,"1776: John Wilkinson invents a mechanical air compressor that would become the prototype for all later mechanical compressors.
Links: John Wilkinson (industrialist)(John Wilkinson) | Air compressor(air compressor)"
1778:,"1778: Robert Barron invents the first lever tumbler lock.
Links: Robert Barron (locksmith)(Robert Barron) | Lever tumbler lock(lever tumbler lock)"
1780:,"1780: Hyder Ali of Mysore, India develops the first metal-cylinder rockets.[401]
Links: Hyder Ali(Hyder Ali) | Kingdom of Mysore(Mysore) | Mysorean rockets(metal-cylinder rockets) | ([401])"
1783:,"1783: Claude de Jouffroy builds the first steamboat.
Links: Claude de Jouffroy(Claude de Jouffroy) | Steamboat(steamboat)"
1783:,"1783: Joseph-Ralf and Jacques-Étienne Montgolfier build the first manned hot air balloon.
Links: Montgolfier brothers(Joseph-Ralf) | Montgolfier brothers(Jacques-Étienne Montgolfier) | Hot air balloon(hot air balloon)"
1783:,"1783: Louis-Sébastien Lenormand invents and uses the first modern parachute.
Links: Louis-Sébastien Lenormand(Louis-Sébastien Lenormand) | Parachute(parachute)"
1785:,"1785: Martinus van Marum is the first to use the electrolysis technique.
Links: Martinus van Marum(Martinus van Marum) | Electrolysis(electrolysis)"
1786:,"1786: Andrew Meikle invents the threshing machine.
Links: Andrew Meikle(Andrew Meikle) | Threshing machine(threshing machine)"
1789:,"1789: Edmund Cartwright invents the power loom.
Links: Edmund Cartwright(Edmund Cartwright) | Power loom(power loom)"
1790:,"1790: Thomas Saint invents the sewing machine.
Links: Thomas Saint(Thomas Saint) | Sewing machine(sewing machine)"
1792:,"1792: Claude Chappe invents the modern semaphore telegraph.
Links: Claude Chappe(Claude Chappe) | Telegraph(telegraph)"
1793:,"1793: Eli Whitney invents the modern cotton gin.
Links: Eli Whitney(Eli Whitney) | Cotton gin(cotton gin)"
1795:,"1795: Joseph Bramah invents the hydraulic press.
Links: Joseph Bramah(Joseph Bramah) | Hydraulic press(hydraulic press)"
1796:,"1796: Alois Senefelder invents the lithography printing technique.[402]
Links: Alois Senefelder(Alois Senefelder) | Lithography(lithography) | ([402])"
1797:,"1797: Samuel Bentham invents plywood.
Links: Samuel Bentham(Samuel Bentham) | Plywood(plywood)"
1799:,"1799: George Medhurst invents the first motorized air compressor.
Links: George Medhurst(George Medhurst) | Air compressor(air compressor)"
1799:,"1799: The first paper machine is invented by Louis-Nicolas Robert.
Links: Paper machine(paper machine) | Louis-Nicolas Robert(Louis-Nicolas Robert)"
1800:,"1800: Alessandro Volta invents the voltaic pile, an early form of battery in Italy, based on previous works by Luigi Galvani.
Links: Alessandro Volta(Alessandro Volta) | Voltaic pile(voltaic pile) | Battery (electricity)(battery) | Italy(Italy) | Luigi Galvani(Luigi Galvani)"
1802:,"1802: Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators).[403]
Links: Humphry Davy(Humphry Davy) | Arc lamp(arc lamp) | ([403])"
1804:,"1804: Friedrich Sertürner discovers morphine as the first active alkaloid extracted from the opium poppy plant.[404]
Links: Friedrich Sertürner(Friedrich Sertürner) | Morphine(morphine) | ([404])"
1804:,"1804: Joseph Marie Jacquard develops his automated Jacquard loom.[405]
Links: Joseph Marie Jacquard(Joseph Marie Jacquard) | Jacquard loom(Jacquard loom) | ([405])"
1804:,"1804: Richard Trevithick invents the steam locomotive.[406]
Links: Richard Trevithick(Richard Trevithick) | Steam locomotive(steam locomotive) | ([406])"
1804:,"1804: Hanaoka Seishū creates tsūsensan, the first modern general anesthetic.[407]
Links: Hanaoka Seishū(Hanaoka Seishū) | General anesthetic(general anesthetic) | ([407])"
1807:,"1807: Nicéphore Niépce invents  an early internal combustion engine capable of doing useful work.
Links: Nicéphore Niépce(Nicéphore Niépce) | Internal combustion engine(internal combustion engine)"
1807:,"1807: François Isaac de Rivaz designs the first automobile powered by an internal combustion engine fuelled by hydrogen.
Links: François Isaac de Rivaz(François Isaac de Rivaz) | Internal combustion engine(internal combustion engine) | Hydrogen(hydrogen)"
1807:,"1807: Robert Fulton expands water transportation and trade with the workable steamboat.
Links: Robert Fulton(Robert Fulton)"
1810:,"1810: Nicolas Appert invents the canning process for food.[408]
Links: Nicolas Appert(Nicolas Appert) | Canning(canning) | ([408])"
1810:,"1810: Abraham-Louis Breguet creates the first wristwatch.[409]
Links: Abraham-Louis Breguet(Abraham-Louis Breguet) | ([409])"
1811:,"1811: Friedrich Koenig invents the first powered printing press, which was also the first to use a cylinder.
Links: Friedrich Koenig(Friedrich Koenig) | Printing press(printing press)"
1812:,"1812: William Reid Clanny pioneered the invention of the safety lamp which he improved in later years. Safety lamps based on Clanny's improved design were used until the adoption of electric lamps.
Links: William Reid Clanny(William Reid Clanny) | Safety lamp(safety lamp)"
1814:,"1814: James Fox invents the modern planing machine, though Matthew Murray of Leeds and Richard Roberts of Manchester have also been credited at times with its invention.
Links: James Fox (engineer)(James Fox) | Planer (metalworking)(planing machine) | Matthew Murray(Matthew Murray) | Leeds(Leeds) | Richard Roberts (engineer)(Richard Roberts) | Manchester(Manchester)"
1816:,"1816: René Laennec  invents the first Stethoscope.[410]
Links: René Laennec(René Laennec) | Stethoscope(Stethoscope) | ([410])"
1816:,"1816: Francis Ronalds builds the first working electric telegraph using electrostatic means.
Links: Francis Ronalds(Francis Ronalds) | Electric telegraph(electric telegraph) | Electrostatic(electrostatic)"
1816:,"1816: Robert Stirling invents the Stirling engine.[411]
Links: Robert Stirling(Robert Stirling) | Stirling engine(Stirling engine) | ([411])"
1817:,"1817: Baron Karl von Drais invents the dandy horse, an early velocipede and precursor to the modern bicycle.
Links: Karl von Drais(Karl von Drais) | Dandy horse(dandy horse) | Velocipede(velocipede) | Bicycle(bicycle)"
1818:,"1818: Marc Isambard Brunel invents the tunnelling shield.
Links: Marc Isambard Brunel(Marc Isambard Brunel) | Tunnelling shield(tunnelling shield)"
1822:,"1822: Thomas Blanchard invents the pattern-tracing lathe (actually more like a shaper). The lathe can copy symmetrical shapes and is used for making gun stocks, and later, ax handles.[412][413]
Links: Thomas Blanchard (inventor)(Thomas Blanchard) | Shaper(shaper) | ([412]) | ([413])"
1822:,"1822: Nicéphore Niépce invents Heliography, the first photographic process.
Links: Nicéphore Niépce(Nicéphore Niépce) | Heliography(Heliography)"
1822:,"1822: Charles Babbage, considered the ""father of the computer"",[414] begins building the first programmable mechanical computer.
Links: Charles Babbage(Charles Babbage) | Computer pioneer(father of the computer) | ([414]) | Mechanical computer(mechanical computer)"
1823:,"1823: Johann Wolfgang Döbereiner invents the first lighter.
Links: Johann Wolfgang Döbereiner(Johann Wolfgang Döbereiner) | Döbereiner's lamp(first lighter)"
1824:,"1824: Johann Nikolaus von Dreyse invents the bolt-action rifle.[415]
Links: Johann Nikolaus von Dreyse(Johann Nikolaus von Dreyse) | Bolt action(bolt-action rifle) | ([415])"
1824:,"1824: William Sturgeon invents the electromagnet.[416][417]
Links: William Sturgeon(William Sturgeon) | Electromagnet(electromagnet) | ([416]) | ([417])"
1826:,"1826: John Walker invents the friction match.[418]
Links: John Walker (inventor)(John Walker) | Match(match) | ([418])"
1826:,"1826: James Sharp invents and goes on to manufacture the first practical gas stove.
Links: Gas stove(gas stove)"
1828:,"1828: James Beaumont Neilson develops the hot blast process.
Links: James Beaumont Neilson(James Beaumont Neilson) | Hot blast(hot blast)"
1828:,"1828: Patrick Bell invents the reaping machine.
Links: Patrick Bell(Patrick Bell) | Reaping machine(reaping machine)"
1828:,"1828: Hungarian physicist Ányos Jedlik invents the first commutated rotary electromechanical machine with electromagnets.
Links: Ányos Jedlik(Ányos Jedlik) | Timeline of the electric motor(electromechanical machine)"
1829:,"1829: Louis Braille invents the Braille reading system for the blind.[419]
Links: Louis Braille(Louis Braille) | Braille(Braille) | ([419])"
1829:,"1829: William Mann invents the compound air compressor.
Links: Air compressor(air compressor)"
1829:,"1829: Henry Robinson Palmer is awarded a patent for corrugated galvanised iron.
Links: Henry Robinson Palmer(Henry Robinson Palmer) | Corrugated galvanised iron(corrugated galvanised iron)"
1830:,"1830: Edwin Budding invents the lawn mower.
Links: Edwin Budding(Edwin Budding) | Lawn mower(lawn mower)"
1831:,"1831: Michael Faraday invents a method of electromagnetic induction. It would be independently invented by Joseph Henry the following year. Faraday is credited with inventing the first electric generator called the Faraday disk.
Links: Michael Faraday(Michael Faraday) | Electromagnetic induction(electromagnetic induction) | Joseph Henry(Joseph Henry) | Electric generator(electric generator) | Homopolar generator(Faraday disk)"
1834:,"1834: Moritz von Jacobi invents the first practical electric motor.
Links: Moritz von Jacobi(Moritz von Jacobi) | Electric motor(electric motor)"
1835:,"1835: Joseph Henry invents the electromechanical relay.
Links: Joseph Henry(Joseph Henry) | Relay(relay)"
1837:,"1837: Samuel Morse invents Morse code.
Links: Samuel Morse(Samuel Morse) | Morse code(Morse code)"
1838:,"1838: Moritz von Jacobi invents electrotyping.
Links: Moritz von Jacobi(Moritz von Jacobi) | Electrotyping(electrotyping)"
1839:,"1839: William Otis invents the steam shovel.
Links: William Otis(William Otis) | Steam shovel(steam shovel)"
1839:,"1839: James Nasmyth invents the steam hammer.
Links: James Nasmyth(James Nasmyth) | Steam hammer(steam hammer)"
1839:,"1839: Edmond Becquerel invents a method for the photovoltaic effect, effectively producing the first solar cell.
Links: Edmond Becquerel(Edmond Becquerel) | Photovoltaic effect(photovoltaic effect) | Solar cell(solar cell)"
1839:,"1839: Charles Goodyear invents vulcanized rubber.[420]
Links: Charles Goodyear(Charles Goodyear) | Vulcanization(vulcanized rubber) | ([420])"
1839:,"1839: Louis Daguerre invents daguerreotype photography.[421]
Links: Louis Daguerre(Louis Daguerre) | Daguerreotype(daguerreotype) | ([421])"
1840:,"1840: John Herschel invents the blueprint.[422]
Links: John Herschel(John Herschel) | Blueprint(blueprint) | ([422])"
1841:,"1841: Alexander Bain devises a printing telegraph.[423]
Links: Alexander Bain (inventor)(Alexander Bain) | ([423])"
1842:,"1842: William Robert Grove invents the first fuel cell.
Links: William Robert Grove(William Robert Grove) | Fuel cell(fuel cell)"
1842:,"1842: John Bennet Lawes invents superphosphate, the first man-made fertilizer.
Links: John Bennet Lawes(John Bennet Lawes) | Superphosphate(superphosphate) | Fertilizer(fertilizer)"
1844:,"1844: Friedrich Gottlob Keller and, independently, Charles Fenerty come up with the wood pulp method of paper production.
Links: Friedrich Gottlob Keller(Friedrich Gottlob Keller) | Charles Fenerty(Charles Fenerty)"
1844:,"1844: Francis Rynd invents the hypodermic needle.
Links: Francis Rynd(Francis Rynd) | Hypodermic needle(hypodermic needle)"
1845:,"1845: Isaac Charles Johnson invents modern Portland cement.
Links: Isaac Charles Johnson(Isaac Charles Johnson) | Portland cement(Portland cement)"
1846:,"1846: Henri-Joseph Maus invents the tunnel boring machine.
Links: Tunnel boring machine(tunnel boring machine)"
1847:,"1847: Ascanio Sobrero invents Nitroglycerin, the first explosive made that was stronger than black powder.
Links: Ascanio Sobrero(Ascanio Sobrero) | Nitroglycerin(Nitroglycerin) | Black powder(black powder)"
1848:,"1848: Jonathan J. Couch invents the pneumatic drill.
Links: Jackhammer(pneumatic drill)"
1848:,"1848: Linus Yale Sr. invents the first modern pin tumbler lock.
Links: Linus Yale Jr.(Linus Yale Sr.) | Pin tumbler lock(pin tumbler lock)"
1849:,"1849: Walter Hunt invents the first repeating rifle to use metallic cartridges (of his own design) and a spring-fed magazine.
Links: Walter Hunt (inventor)(Walter Hunt) | Repeating rifle(repeating rifle)"
1849:,"1849: James B. Francis invents the Francis turbine.
Links: James B. Francis(James B. Francis) | Francis turbine(Francis turbine)"
1849:,"1849: Walter Hunt invents the Safety pin.[424]
Links: Walter Hunt (inventor)(Walter Hunt) | Safety pin(Safety pin) | ([424])"
1850:,"1850: William Armstrong invents the hydraulic accumulator.
Links: William Armstrong, 1st Baron Armstrong(William Armstrong) | Hydraulic accumulator(hydraulic accumulator)"
1851:,"1851: George Jennings offers the first public flush toilets, accessible for a penny per visit, and in 1852 receives a UK patent for the single piece, free standing, earthenware, trap plumed, flushing, water-closet.[425]
Links: George Jennings(George Jennings) | ([425])"
1852:,"1852: Robert Bunsen is the first to use a chemical vapor deposition technique.
Links: Robert Bunsen(Robert Bunsen) | Chemical vapor deposition(chemical vapor deposition)"
1852:,"1852: Elisha Otis invents the safety brake elevator.[426]
Links: Elisha Otis(Elisha Otis) | ([426])"
1852:,"1852: Henri Giffard becomes the first person to make a manned, controlled and powered flight using a dirigible.
Links: Henri Giffard(Henri Giffard) | Dirigible(dirigible)"
1853:,"1853: François Coignet invents reinforced concrete.
Links: Reinforced concrete(reinforced concrete)"
1855:,"1855: James Clerk Maxwell invents the first practical method for color photography, whether chemical or electronic.
Links: James Clerk Maxwell(James Clerk Maxwell) | Color photography(color photography)"
1855:,"1855: Henry Bessemer patents the Bessemer process for making steel, with improvements made by others over the following years.
Links: Henry Bessemer(Henry Bessemer) | Bessemer process(Bessemer process)"
1856:,"1856: Alexander Parkes invents parkesine, also known as celluloid, the first man-made plastic.
Links: Alexander Parkes(Alexander Parkes) | Parkesine(parkesine) | Celluloid(celluloid) | Plastic(plastic)"
1856:,"1856: James Harrison produces the world's first practical ice making machine and refrigerator using the principle of vapour compression in Geelong, Australia.[427]
Links: James Harrison (engineer)(James Harrison) | ([427])"
1856:,"1856: William Henry Perkin invents mauveine, the first synthetic dye.
Links: William Henry Perkin(William Henry Perkin) | Mauveine(mauveine) | Synthetic dye(synthetic dye)"
1857:,"1857: Heinrich Geissler invents the Geissler tube.
Links: Heinrich Geissler(Heinrich Geissler) | Geissler tube(Geissler tube)"
1857:,"1857: The phonautograph, the earliest known device for recording sound, is patented and invented by Frenchman Édouard-Léon Scott de Martinville.
Links: Phonautograph(phonautograph) | Édouard-Léon Scott de Martinville(Édouard-Léon Scott de Martinville)"
1859:,"1859: Gaston Planté invents the lead acid battery, the first rechargeable battery.
Links: Gaston Planté(Gaston Planté) | Lead-acid(lead acid battery) | Rechargeable battery(rechargeable battery)"
1860:,"1860: Joseph Swan produces carbon fibers.[428]
Links: Joseph Swan(Joseph Swan) | Carbon fibers(carbon fibers) | ([428])"
1864:,"1864: Louis Pasteur invents the pasteurization process.
Links: Louis Pasteur(Louis Pasteur) | Pasteurization(pasteurization)"
1865:,"1865: Carl Wilhelm Siemens and Pierre-Émile Martin invented the Siemens-Martin process for making steel.
Links: Carl Wilhelm Siemens(Carl Wilhelm Siemens) | Pierre-Émile Martin(Pierre-Émile Martin)"
1867:,"1867: Alfred Nobel invents dynamite, the first safely manageable explosive stronger than black powder.
Links: Alfred Nobel(Alfred Nobel) | Dynamite(dynamite) | Black powder(black powder)"
1867:,"1867: Lucien B. Smith invents barbed wire, which Joseph F. Glidden will modify in 1874, leading to the taming of the West and the end of the cowboys.
Links: Barbed wire(barbed wire) | Joseph F. Glidden(Joseph F. Glidden) | American frontier(the West)"
1872:,"1872: Polyvinyl chloride, more commonly known as vinyl, is synthesized by German chemist Eugen Baumann
Links: Polyvinyl chloride(Polyvinyl chloride) | Eugen Baumann(Eugen Baumann)"
1872:,"1872: J.E.T. Woods and J. Clark invented stainless steel. Harry Brearley was the first to commercialize it.[429]
Links: Stainless steel(stainless steel) | Harry Brearley(Harry Brearley) | ([429])"
1873:,"1873: Frederick Ransome invents the rotary kiln.
Links: Frederick Ransome(Frederick Ransome) | Rotary kiln(rotary kiln)"
1873:,"1873: William Crookes, a chemist, invents the Crookes radiometer as the by-product of some chemical research.
Links: William Crookes(William Crookes) | Crookes radiometer(Crookes radiometer)"
1873:,"1873: Zénobe Gramme invents the first commercial electrical generator, the Gramme machine.
Links: Zénobe Gramme(Zénobe Gramme) | Electrical generator(electrical generator) | Gramme machine(Gramme machine)"
1874:,"1874: Gustave Trouvé invents the first metal detector.
Links: Gustave Trouvé(Gustave Trouvé) | Metal detector(metal detector)"
1875:,"1875: Fyodor Pirotsky invents the first electric tram near Saint Petersburg, Russia.
Links: Fyodor Pirotsky(Fyodor Pirotsky) | Electric tram(electric tram) | Saint Petersburg, Russia(Saint Petersburg, Russia)"
1876:,"1876: Nicolaus August Otto invents the four-stroke cycle.
Links: Nicolaus August Otto(Nicolaus August Otto) | Four-stroke cycle(four-stroke cycle)"
1876:,"1876: Alexander Graham Bell has a patent granted for the telephone. However, other inventors before Bell had worked on the development of the telephone and the invention had several pioneers.[430]
Links: Alexander Graham Bell(Alexander Graham Bell) | Telephone(telephone) | ([430])"
1877:,"1877: Thomas Edison invents the first working phonograph.[431]
Links: Thomas Edison(Thomas Edison) | Phonograph(phonograph) | ([431])"
1878:,"1878: Henry Fleuss is granted a patent for the first practical rebreather.[432]
Links: Henry Fleuss(Henry Fleuss) | Rebreather(rebreather) | ([432])"
1878:,"1878: Lester Allan Pelton invents the Pelton wheel.
Links: Lester Allan Pelton(Lester Allan Pelton) | Pelton wheel(Pelton wheel)"
1879:,"1879: Joseph Swan and Thomas Edison both patent a functional incandescent light bulb. Some two dozen inventors had experimented with electric incandescent lighting over the first three-quarters of the 19th century but never came up with a practical design.[433] Swan's, which he had been working on since the 1860s, had a low resistance so was only suited for small installations. Edison designed a high-resistance bulb as part of a large-scale commercial electric lighting utility.[434][435][436]
Links: Joseph Swan(Joseph Swan) | Thomas Edison(Thomas Edison) | Incandescent light bulb(incandescent light bulb) | ([433]) | ([434]) | ([435]) | ([436])"
1881:,"1881: Nikolay Benardos presents carbon arc welding, the first practical arc welding method.[437]
Links: Nikolay Benardos(Nikolay Benardos) | Carbon arc welding(carbon arc welding) | Arc welding(arc welding) | ([437])"
1884:,"1884: Hiram Maxim invents the recoil-operated Maxim gun, ushering in the age of semi- and fully automatic firearms.
Links: Hiram Maxim(Hiram Maxim) | Recoil operation(recoil-operated) | Maxim gun(Maxim gun)"
1884:,"1884: Paul Vieille invents Poudre B, the first smokeless powder for firearms.
Links: Paul Vieille(Paul Vieille) | Poudre B(Poudre B) | Smokeless powder(smokeless powder)"
1884:,"1884: Sir Charles Parsons invents the modern steam turbine.
Links: Charles Algernon Parsons(Charles Parsons) | Steam turbine(steam turbine)"
1884:,"1884: Hungarian engineers Károly Zipernowsky, Ottó Bláthy and Miksa Déri invent the closed core high efficiency transformer and the AC parallel power distribution.
Links: Károly Zipernowsky(Károly Zipernowsky) | Ottó Bláthy(Ottó Bláthy) | Miksa Déri(Miksa Déri)"
1885:,"1885: John Kemp Starley invents the modern safety bicycle.[438][439]
Links: John Kemp Starley(John Kemp Starley) | Safety bicycle(safety bicycle) | ([438]) | ([439])"
1886:,"1886: Carl Gassner invents the zinc–carbon battery, the first dry cell battery, making portable electronics practical.
Links: Carl Gassner(Carl Gassner) | Zinc–carbon battery(zinc–carbon battery) | Dry cell(dry cell battery)"
1886:,"1886: Charles Martin Hall and independently Paul Héroult invent the Hall–Héroult process for economically producing aluminum in 1886.
Links: Charles Martin Hall(Charles Martin Hall) | Paul Héroult(Paul Héroult) | Hall–Héroult process(Hall–Héroult process)"
1886:,"1886: Karl Benz invents the first petrol or gasoline powered auto-mobile (car).[440]
Links: Karl Benz(Karl Benz) | ([440])"
1887:,"1887: Carl Josef Bayer invents the Bayer process for the production of alumina.
Links: Carl Josef Bayer(Carl Josef Bayer) | Bayer process(Bayer process)"
1887:,"1887: James Blyth invents the first wind turbine used for generating electricity.
Links: James Blyth (engineer)(James Blyth) | Wind turbine(wind turbine)"
1887:,"1887: John Stewart MacArthur, working in collaboration with brothers Dr. Robert and Dr. William Forrest, develops the process of gold cyanidation.
Links: John Stewart MacArthur(John Stewart MacArthur) | Gold cyanidation(gold cyanidation)"
1888:,"1888: John J. Loud invents the ballpoint pen.[441]
Links: John J. Loud(John J. Loud) | Ballpoint pen(ballpoint pen) | ([441])"
1888:,"1888: Thomas Edison and William Kennedy Dickson invent the Kinetoscope.[442]
Links: Thomas Edison(Thomas Edison) | William Kennedy Dickson(William Kennedy Dickson) | Kinetoscope(Kinetoscope) | ([442])"
1888:,"1888: Heinrich Hertz publishes a conclusive proof of James Clerk Maxwell's electromagnetic theory in experiments that also demonstrate the existence of radio waves. The effects of electromagnetic waves had been observed by many people before this but no usable theory explaining them existed until Maxwell.
Links: Heinrich Hertz(Heinrich Hertz) | James Clerk Maxwell(James Clerk Maxwell) | Radio wave(radio waves)"
1888:,"1888: The first practical pneumatic tire was made by Scotsman John Boyd Dunlop, the patent was from 1847 by Robert William Thomson
Links: Pneumatic tire(pneumatic tire) | John Boyd Dunlop(John Boyd Dunlop) | Robert William Thomson(Robert William Thomson)"
1890s:,"1890s: Frédéric Swarts invents the first chlorofluorocarbons to be applied as refrigerant.[443]
Links: Frédéric Swarts(Frédéric Swarts) | Chlorofluorocarbon(chlorofluorocarbons) | ([443])"
1890:,"1890: Robert Gair would invent the pre-cut cardboard box.[444]
Links: Robert Gair(Robert Gair) | Cardboard box(cardboard box) | ([444])"
1891:,"1891: Whitcomb Judson invents the zipper.
Links: Whitcomb Judson(Whitcomb Judson) | Zipper(zipper)"
1892:,"1892: Léon Bouly invents the cinematograph.
Links: Léon Bouly(Léon Bouly) | Cinematograph(cinematograph)"
1892:,"1892: Thomas Ahearn invents the electric oven.[445]
Links: Thomas Ahearn(Thomas Ahearn) | Electric stove(electric oven) | ([445])"
1893:,"1893: Rudolf Diesel invents the diesel engine (although Herbert Akroyd Stuart had experimented with compression ignition before Diesel).
Links: Rudolf Diesel(Rudolf Diesel) | Diesel engine(diesel engine) | Herbert Akroyd Stuart(Herbert Akroyd Stuart)"
1893:,"1893: William Stewart Halsted, invents the rubber glove for his wife Caroline Hampton as he noticed her hands were affected by the daily surgeries she had performed. The gloves were intended to prevent medical staff from developing dermatitis from surgical chemicals.[446][447][448] The first modern disposable glove was created by Ansell Rubber Co. Pty. Ltd. in 1965.[449][450][451]
Links: William Stewart Halsted(William Stewart Halsted) | Rubber glove(rubber glove) | Caroline Hampton(Caroline Hampton) | Dermatitis(dermatitis) | ([446]) | ([447]) | ([448]) | ([449]) | ([450]) | ([451])"
1895:,"1895: Guglielmo Marconi invents a system of wireless communication using radio waves.
Links: Guglielmo Marconi(Guglielmo Marconi)"
1895:,"1895: Wilhelm Conrad Röntgen invented the first radiograph (X-ray).
Links: Wilhelm Conrad Röntgen(Wilhelm Conrad Röntgen) | Xrays(X-ray)"
1897:,"1897: Surgical masks made of cloth were developed in Europe by physicians Jan Mikulicz-Radecki at the University of Breslau and Paul Berger in Paris, as a result of increasing awareness of germ theory and the importance of antiseptic procedures in medicine.[452]
Links: Surgical masks(Surgical masks) | Jan Mikulicz-Radecki(Jan Mikulicz-Radecki) | University of Breslau(University of Breslau) | Paul Berger (physician)(Paul Berger) | ([452])"
1898:,"1898: Hans von Pechmann synthesizes polyethylene, now the most common plastic in the world.[453]
Links: Hans von Pechmann(Hans von Pechmann) | Polyethylene(polyethylene) | Plastic(plastic) | ([453])"
1899:,"1899: Waldemar Jungner invents the rechargeable nickel-cadmium battery (NiCd) as well as the nickel-iron electric storage battery (NiFe) and the rechargeable alkaline silver-cadmium battery (AgCd)
Links: Waldemar Jungner(Waldemar Jungner) | Nickel-cadmium battery(nickel-cadmium battery) | Nickel-iron battery(nickel-iron electric storage battery) | Silver-cadmium battery(silver-cadmium battery)"
1900:,"1900: The first Zeppelin is designed by Theodor Kober.
Links: Zeppelin(Zeppelin) | Theodor Kober(Theodor Kober)"
1901:,"1901: The first motorized cleaner using suction, a powered ""vacuum cleaner"", is patented independently by Hubert Cecil Booth and David T. Kenney.[454]
Links: Vacuum cleaner(vacuum cleaner) | Hubert Cecil Booth(Hubert Cecil Booth) | David T. Kenney(David T. Kenney) | ([454])"
1903:,"1903: The first successful gas turbine is invented by Ægidius Elling.
Links: Gas turbine(gas turbine) | Ægidius Elling(Ægidius Elling)"
1903:,"1903: Édouard Bénédictus invents laminated glass.
Links: Laminated glass(laminated glass)"
1903:,"1903: First sustained and controlled heavier-than-air powered flight achieved by an airplane flown at Kitty Hawk, North Carolina by Orville and Wilbur Wright. See Claims to the first powered flight.
Links: Airplane(airplane) | Kitty Hawk, North Carolina(Kitty Hawk, North Carolina) | Orville and Wilbur Wright(Orville and Wilbur Wright) | Claims to the first powered flight(Claims to the first powered flight)"
1904:,"1904: The Fleming valve, the first vacuum tube and diode, is invented by John Ambrose Fleming.
Links: Fleming valve(Fleming valve) | Vacuum tube(vacuum tube) | Diode(diode) | John Ambrose Fleming(John Ambrose Fleming)"
