year,content
3400 BC – 3100 BC:,"3400 BC – 3100 BC: Tattoos in southern Europe[141][142]
Links: Tattoo(Tattoos) | ([141]) | ([142])"
Late 4th millennium BC:,"Late 4th millennium BC: Writing – in Sumer and Egypt.[143][144][145][146]
Links: Writing(Writing) | Sumer(Sumer) | Egypt(Egypt) | ([143]) | ([144]) | ([145]) | ([146])"
3300 BC:,"3300 BC: The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about 60 cm (24 in) long.[147][148] Some of them are inlaid with silver.[148]
Links: Sword(swords) | Arslantepe(Arslantepe) | Arsenical bronze(arsenical bronze) | ([147]) | ([148]) | Silver(silver) | ([148])"
3300 BC:,"3300 BC: City in Uruk, Sumer, Mesopotamia (modern-day Iraq).[149]
Links: City(City) | Uruk(Uruk) | Sumer(Sumer) | Mesopotamia(Mesopotamia) | ([149])"
3250 BC:,"3250 BC: One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat  found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps.[150][151][152]
Links: Hat(hats) | Ötzi(Ötzi) | ([150]) | ([151]) | ([152])"
3200 BC:,"3200 BC: Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains.[153][154][155]
Links: Latrine(Latrines) | Uruk(Uruk) | Toilet(Toilets) | ([153]) | ([154]) | ([155])"
3200 BC:,"3200 BC: Earliest actual wheel ever found, the Ljubljana Marshes Wheel, made of wood, in Slovenia.[132]
Links: Ljubljana Marshes Wheel(Ljubljana Marshes Wheel) | Slovenia(Slovenia) | ([132])"
3000 BC:,"3000 BC: Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet.[156] Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC.[157][158] Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan).[159]
Links: Dice(dice) | Senet(Senet) | ([156]) | Backgammon(backgammon) | Burnt City(Burnt City) | Iran(Iran) | ([157]) | ([158]) | Mohenjo-daro(Mohenjo-daro) | ([159])"
3000 BC:,"3000 BC: Tin extraction in Central Asia[160]
Links: Tin(Tin) | Central Asia(Central Asia) | ([160])"
3000 BC – 2560 BC:,"3000 BC – 2560 BC: Papyrus in Egypt[161][162][163][164]
Links: Papyrus(Papyrus) | ([161]) | ([162]) | ([163]) | ([164])"
3000 BC:,"3000 BC: Reservoir in Girnar, Indus Valley (modern-day India).[165]
Links: Reservoir(Reservoir) | Girnar(Girnar) | India(India) | ([165])"
3000 BC:,"3000 BC: Receipt in Ancient Mesopotamia (Iraq)[166]
Links: Receipt(Receipt) | Mesopotamia(Mesopotamia) | Iraq(Iraq) | ([166])"
3000 BC – 2800 BC:,"3000 BC – 2800 BC: Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold.[167]
Links: Prosthesis(Prosthesis) | Ancient Near East(Ancient Near East) | ([167])"
3000 BC – 2500 BC:,"3000 BC – 2500 BC: Rhinoplasty in Egypt.[168][169]
Links: Rhinoplasty(Rhinoplasty) | ([168]) | ([169])"
2650 BC:,"2650 BC: The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). [c]
Links: Ruler(Ruler) | Measuring rod(Measuring rod) | Nippur(Nippur) | Sumer(Sumerian Civilisation) | ([c])"
2600 BC:,"2600 BC: Planned city in Indus Valley (modern-day: India, Pakistan).[171][172]
Links: Planned city(Planned city) | ([171]) | ([172])"
2600 BC:,"2600 BC: Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan).[173]
Links: Sanitation of the Indus Valley Civilisation(Public sewage and sanitation systems in Indus Valley) | Mohenjo-daro(Mohenjo-daro) | Rakhigarhi(Rakhigarhi) | ([173])"
2600 BC:,"2600 BC: Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan).[174]
Links: Great Bath, Mohenjo-daro(Public bath) | Mohenjo-daro(Mohenjo-daro) | Pakistan(Pakistan) | ([174])"
2600 BC:,"2600 BC: Levee in Indus Valley.[175]
Links: Levee(Levee) | ([175])"
2600 BC:,"2600 BC: Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed.[176]
Links: Weighing scale(Balance weights and scales) | Fourth Dynasty of Egypt(Fourth Dynasty of Egypt) | Deben (unit)(Deben (unit)) | Sneferu(Sneferu) | ([176])"
2556 BC:,"2556 BC: Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu.[177][164][d]
Links: Dock (maritime)(Docks) | Wadi al-Jarf(Wadi al-Jarf) | Khufu(Khufu) | ([177]) | ([164]) | ([d])"
2500 BC:,"2500 BC: Puppetry in the Indus Valley.[184][185]
Links: Puppetry(Puppetry) | ([184]) | ([185])"
2400 BC:,"2400 BC: Fork in Bronze Age Qijia culture in China[186]
Links: Fork(Fork) | Bronze Age(Bronze Age) | Qijia culture(Qijia culture) | China(China) | ([186])"
2400 BC:,"2400 BC: Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes.[129]
Links: History of water supply and sanitation(Copper pipes) | Pyramid of Sahure(Pyramid of Sahure) | Abusir(Abusir) | ([129])"
2400 BC:,"2400 BC: Touchstone in the Indus Valley site of Banawali (modern-day India).[187]
Links: Touchstone (assaying tool)(Touchstone) | Banawali(Banawali) | ([187])"
2300 BC:,"2300 BC: Dictionary in Mesopotamia.[188]
Links: Dictionary(Dictionary) | Mesopotamia(Mesopotamia) | ([188])"
2200 BC – 2000 BC:,"2200 BC – 2000 BC: Iron smelting in Kaman-Kalehöyük.[189]
Links: Iron smelting(Iron smelting) | Kaman-Kalehöyük(Kaman-Kalehöyük) | ([189])"
